"first_name","email","email_validation"
"Jared","jared.ely@sakilacustomer.org","valid"
"Mary","mary.smith@sakilacustomer.org","valid"
"Patricia","patricia.johnson@sakilacustomer.org","valid"
"Linda","linda.williams@sakilacustomer.org","valid"
"Barbara","barbara.jones@sakilacustomer.org","valid"
"Elizabeth","elizabeth.brown@sakilacustomer.org","valid"
"Jennifer","jennifer.davis@sakilacustomer.org","valid"
"Maria","maria.miller@sakilacustomer.org","valid"
"Susan","susan.wilson@sakilacustomer.org","valid"
"Margaret","margaret.moore@sakilacustomer.org","valid"
"Dorothy","dorothy.taylor@sakilacustomer.org","valid"
"Lisa","lisa.anderson@sakilacustomer.org","valid"
"Nancy","nancy.thomas@sakilacustomer.org","valid"
"Karen","karen.jackson@sakilacustomer.org","valid"
"Betty","betty.white@sakilacustomer.org","valid"
"Helen","helen.harris@sakilacustomer.org","valid"
"Sandra","sandra.martin@sakilacustomer.org","valid"
"Donna","donna.thompson@sakilacustomer.org","valid"
"Carol","carol.garcia@sakilacustomer.org","valid"
"Ruth","ruth.martinez@sakilacustomer.org","valid"
"Sharon","sharon.robinson@sakilacustomer.org","valid"
"Michelle","michelle.clark@sakilacustomer.org","valid"
"Laura","laura.rodriguez@sakilacustomer.org","valid"
"Sarah","sarah.lewis@sakilacustomer.org","valid"
"Kimberly","kimberly.lee@sakilacustomer.org","valid"
"Deborah","deborah.walker@sakilacustomer.org","valid"
"Jessica","jessica.hall@sakilacustomer.org","valid"
"Shirley","shirley.allen@sakilacustomer.org","valid"
"Cynthia","cynthia.young@sakilacustomer.org","valid"
"Angela","angela.hernandez@sakilacustomer.org","valid"
"Melissa","melissa.king@sakilacustomer.org","valid"
"Brenda","brenda.wright@sakilacustomer.org","valid"
"Amy","amy.lopez@sakilacustomer.org","valid"
"Anna","anna.hill@sakilacustomer.org","valid"
"Rebecca","rebecca.scott@sakilacustomer.org","valid"
"Virginia","virginia.green@sakilacustomer.org","valid"
"Kathleen","kathleen.adams@sakilacustomer.org","valid"
"Pamela","pamela.baker@sakilacustomer.org","valid"
"Martha","martha.gonzalez@sakilacustomer.org","valid"
"Debra","debra.nelson@sakilacustomer.org","valid"
"Amanda","amanda.carter@sakilacustomer.org","valid"
"Stephanie","stephanie.mitchell@sakilacustomer.org","valid"
"Carolyn","carolyn.perez@sakilacustomer.org","valid"
"Christine","christine.roberts@sakilacustomer.org","valid"
"Marie","marie.turner@sakilacustomer.org","valid"
"Janet","janet.phillips@sakilacustomer.org","valid"
"Catherine","catherine.campbell@sakilacustomer.org","valid"
"Frances","frances.parker@sakilacustomer.org","valid"
"Ann","ann.evans@sakilacustomer.org","valid"
"Joyce","joyce.edwards@sakilacustomer.org","valid"
"Diane","diane.collins@sakilacustomer.org","valid"
"Alice","alice.stewart@sakilacustomer.org","valid"
"Julie","julie.sanchez@sakilacustomer.org","valid"
"Heather","heather.morris@sakilacustomer.org","valid"
"Teresa","teresa.rogers@sakilacustomer.org","valid"
"Doris","doris.reed@sakilacustomer.org","valid"
"Gloria","gloria.cook@sakilacustomer.org","valid"
"Evelyn","evelyn.morgan@sakilacustomer.org","valid"
"Jean","jean.bell@sakilacustomer.org","valid"
"Cheryl","cheryl.murphy@sakilacustomer.org","valid"
"Mildred","mildred.bailey@sakilacustomer.org","valid"
"Katherine","katherine.rivera@sakilacustomer.org","valid"
"Joan","joan.cooper@sakilacustomer.org","valid"
"Ashley","ashley.richardson@sakilacustomer.org","valid"
"Judith","judith.cox@sakilacustomer.org","valid"
"Rose","rose.howard@sakilacustomer.org","valid"
"Janice","janice.ward@sakilacustomer.org","valid"
"Kelly","kelly.torres@sakilacustomer.org","valid"
"Nicole","nicole.peterson@sakilacustomer.org","valid"
"Judy","judy.gray@sakilacustomer.org","valid"
"Christina","christina.ramirez@sakilacustomer.org","valid"
"Kathy","kathy.james@sakilacustomer.org","valid"
"Theresa","theresa.watson@sakilacustomer.org","valid"
"Beverly","beverly.brooks@sakilacustomer.org","valid"
"Denise","denise.kelly@sakilacustomer.org","valid"
"Tammy","tammy.sanders@sakilacustomer.org","valid"
"Irene","irene.price@sakilacustomer.org","valid"
"Jane","jane.bennett@sakilacustomer.org","valid"
"Lori","lori.wood@sakilacustomer.org","valid"
"Rachel","rachel.barnes@sakilacustomer.org","valid"
"Marilyn","marilyn.ross@sakilacustomer.org","valid"
"Andrea","andrea.henderson@sakilacustomer.org","valid"
"Kathryn","kathryn.coleman@sakilacustomer.org","valid"
"Louise","louise.jenkins@sakilacustomer.org","valid"
"Sara","sara.perry@sakilacustomer.org","valid"
"Anne","anne.powell@sakilacustomer.org","valid"
"Jacqueline","jacqueline.long@sakilacustomer.org","valid"
"Wanda","wanda.patterson@sakilacustomer.org","valid"
"Bonnie","bonnie.hughes@sakilacustomer.org","valid"
"Julia","julia.flores@sakilacustomer.org","valid"
"Ruby","ruby.washington@sakilacustomer.org","valid"
"Lois","lois.butler@sakilacustomer.org","valid"
"Tina","tina.simmons@sakilacustomer.org","valid"
"Phyllis","phyllis.foster@sakilacustomer.org","valid"
"Norma","norma.gonzales@sakilacustomer.org","valid"
"Paula","paula.bryant@sakilacustomer.org","valid"
"Diana","diana.alexander@sakilacustomer.org","valid"
"Annie","annie.russell@sakilacustomer.org","valid"
"Lillian","lillian.griffin@sakilacustomer.org","valid"
"Emily","emily.diaz@sakilacustomer.org","valid"
"Robin","robin.hayes@sakilacustomer.org","valid"
"Peggy","peggy.myers@sakilacustomer.org","valid"
"Crystal","crystal.ford@sakilacustomer.org","valid"
"Gladys","gladys.hamilton@sakilacustomer.org","valid"
"Rita","rita.graham@sakilacustomer.org","valid"
"Dawn","dawn.sullivan@sakilacustomer.org","valid"
"Connie","connie.wallace@sakilacustomer.org","valid"
"Florence","florence.woods@sakilacustomer.org","valid"
"Tracy","tracy.cole@sakilacustomer.org","valid"
"Edna","edna.west@sakilacustomer.org","valid"
"Tiffany","tiffany.jordan@sakilacustomer.org","valid"
"Carmen","carmen.owens@sakilacustomer.org","valid"
"Rosa","rosa.reynolds@sakilacustomer.org","valid"
"Cindy","cindy.fisher@sakilacustomer.org","valid"
"Grace","grace.ellis@sakilacustomer.org","valid"
"Wendy","wendy.harrison@sakilacustomer.org","valid"
"Victoria","victoria.gibson@sakilacustomer.org","valid"
"Edith","edith.mcdonald@sakilacustomer.org","valid"
"Kim","kim.cruz@sakilacustomer.org","valid"
"Sherry","sherry.marshall@sakilacustomer.org","valid"
"Sylvia","sylvia.ortiz@sakilacustomer.org","valid"
"Josephine","josephine.gomez@sakilacustomer.org","valid"
"Thelma","thelma.murray@sakilacustomer.org","valid"
"Shannon","shannon.freeman@sakilacustomer.org","valid"
"Sheila","sheila.wells@sakilacustomer.org","valid"
"Ethel","ethel.webb@sakilacustomer.org","valid"
"Ellen","ellen.simpson@sakilacustomer.org","valid"
"Elaine","elaine.stevens@sakilacustomer.org","valid"
"Marjorie","marjorie.tucker@sakilacustomer.org","valid"
"Carrie","carrie.porter@sakilacustomer.org","valid"
